word,count
"🏊🏻",1
"http://t.co/hw7vxaxqzm",1
"#chrysler",1
"blue",3
"springs",4
"department",20
"investigate",24
"suspicious",11
"circumstance:",1
"...",98
"col...",1
"http://t.co/jctjy88km0",1
"#town",1
"#country",1
"officers",144
"thought",20
"stolen",9
"cars,",2
"horrify...",2
"http://t.co/phhndillyd",1
"http://t.co/5ogh6qsk6v",1
"29.",1
"angel",1
"perez,",1
"""i",4
"sexually",6
"abused",12
"""black",1
"site"".",1
"http://t.co/mtf0ot5oqv",1
"im",24
"1967",2
"#israel",3
"gave",3
"keys",4
"thetemple",2
"freedom",3
"muslim",30
"worship",3
"..",13
"terrorist",9
"base.
http://t.co/yhqrma1…",1
"isl",2
"law,",41
"flying",40
"escape",44
"questioning,",35
"local",15
"http://t.…",50
"live",35
"image:only",24
"remain",26
"#mangalore",24
"dance",25
"party",42
"#bajrangdal",36
"object",24
"dancing",25
"clashes",310
"break",172
"al-aqsa",283
"mosque",323
"compound:",159
"israel",147
"sounds",2
"#dearmrpresident",2
"#zuma",2
"""@news24:",2
"ivory",15
"coast",17
"'block",15
"opposition",15
"rally'",15
"http://t.co/0yz1…",1
"phone",17
"intruder",5
"house",25
"http://t.co/mcyphf870e",5
"https://t.co/vsdtmwawvd",1
"american",45
"allowed",38
"carry",29
"guns",32
"them.",30
"http://t.co/sfewf5wwcf",27
"hungary

migrants",10
"smash",11
"hungary-serbia",10
"border",26
"hurling",10
"tear",15
"gas",10
"water",21
"cannon",10
"#порошенко",2
"в",5
"нью-йорке",2
"и",2
"#полиция",3
"#харьков'е.",2
"самые",2
"важные",2
"новости",2
"минувшей",2
"ночи",2
"http://t.co/q89nk73hsj
#police",2
"message",8
"bottle",8
"http://t.co/5cabjrdkfl",1
"#kvgi",1
"#nowplaying",12
"#listenlive",2
"nigerianewsdesk:",1
"https://t.co/ix2lbsvtf6",1
"to…",5
"http://t.co/mlbtyh4qyh",1
"fatal",57
"disabled",55
"man,",70
"mother",48
